filename,language,scenario,source,provider,method,wer_before,wer_after,wer_delta,cer_before,cer_after,cer_delta,avg_wer_retranscribed,retranscription_delta,correction_effect,avg_flagged,total_words,threshold,num_runs
indicvoices_ka_03.wav,ka,S4,indicvoices,sarvam,full_transcript_llm,0.5789,0.5526,-0.0263,0.4286,0.4247,-0.0039,,,,,,,
suspicious-transaction-1-Kannada.m4a,kn-en,S4,personal,sarvam,full_transcript_llm,0.3784,0.3784,0.0,0.1743,0.1743,0.0,,,,,,,
indicvoices_ka_05.wav,ka,S4,indicvoices,sarvam,full_transcript_llm,0.3684,0.3684,0.0,0.0763,0.0763,0.0,,,,,,,
indicvoices_ka_01.wav,ka,S4,indicvoices,sarvam,full_transcript_llm,0.3125,0.3125,0.0,0.1224,0.1224,0.0,,,,,,,
loan-enquiry-1-Kannada.m4a,kn-en,S4,personal,sarvam,full_transcript_llm,0.3,0.3,0.0,0.0976,0.0976,0.0,,,,,,,
credit-card-application-1-hinglish.m4a,hi-en,S3,personal,sarvam,full_transcript_llm,0.2727,0.2727,0.0,0.0826,0.0826,0.0,,,,,,,
indicvoices_ka_04.wav,ka,S4,indicvoices,sarvam,full_transcript_llm,0.2222,0.2222,0.0,0.15,0.15,0.0,,,,,,,
indicvoices_hi_06.wav,hi,S1,indicvoices,sarvam,full_transcript_llm,0.2192,0.2192,0.0,0.1314,0.1314,0.0,,,,,,,
indicvoices_hi_07.wav,hi,S1,indicvoices,sarvam,full_transcript_llm,0.2143,0.2857,0.0714,0.0645,0.0806,0.0161,,,,,,,
indicvoices_ka_02.wav,ka,S4,indicvoices,sarvam,full_transcript_llm,0.1935,0.1935,0.0,0.0877,0.0921,0.0044,,,,,,,
debit-card-verification-1-Kannada.m4a,kn-en,S4,personal,sarvam,full_transcript_llm,0.1429,0.1429,0.0,0.0272,0.0272,0.0,,,,,,,
transaction-check-1-hinglish.m4a,hi-en,S3,personal,sarvam,full_transcript_llm,0.1379,0.1379,0.0,0.1223,0.1223,0.0,,,,,,,
indicvoices_ka_06.wav,ka,S4,indicvoices,sarvam,full_transcript_llm,0.125,0.125,0.0,0.0299,0.0299,0.0,,,,,,,
gpay-fraud-1-hinglish.m4a,hi-en,S3,personal,sarvam,full_transcript_llm,0.125,0.125,0.0,0.0265,0.0265,0.0,,,,,,,
indicvoices_hi_04.wav,hi,S1,indicvoices,sarvam,full_transcript_llm,0.1167,0.1167,0.0,0.023,0.023,0.0,,,,,,,
