filename,language,scenario,source,provider,method,wer_before,wer_after,wer_delta,cer_before,cer_after,cer_delta,avg_wer_retranscribed,retranscription_delta,correction_effect,avg_flagged,total_words,threshold,num_runs
indicvoices_ka_03.wav,ka,S4,indicvoices,sarvam,full_transcript_llm,0.5789,0.5789,0.0,0.4208,0.4208,0.0,,,,,,,
indicvoices_ka_05.wav,ka,S4,indicvoices,sarvam,full_transcript_llm,0.4211,0.4211,0.0,0.1374,0.145,0.0076,,,,,,,
loan-enquiry-1-Kannada.m4a,kn-en,S4,personal,sarvam,full_transcript_llm,0.4,0.4,0.0,0.1057,0.1138,0.0081,,,,,,,
suspicious-transaction-1-Kannada.m4a,kn-en,S4,personal,sarvam,full_transcript_llm,0.3514,0.3514,0.0,0.0996,0.0996,0.0,,,,,,,
indicvoices_ka_07.wav,ka,S4,indicvoices,sarvam,full_transcript_llm,0.3333,0.3333,0.0,0.026,0.0779,0.0519,,,,,,,
indicvoices_ka_02.wav,ka,S4,indicvoices,sarvam,full_transcript_llm,0.2581,0.3226,0.0645,0.0877,0.1009,0.0132,,,,,,,
indicvoices_ka_01.wav,ka,S4,indicvoices,sarvam,full_transcript_llm,0.25,0.25,0.0,0.0714,0.0714,0.0,,,,,,,
indicvoices_ka_04.wav,ka,S4,indicvoices,sarvam,full_transcript_llm,0.2222,0.2222,0.0,0.0333,0.0333,0.0,,,,,,,
indicvoices_hi_07.wav,hi,S1,indicvoices,sarvam,full_transcript_llm,0.2143,0.2143,0.0,0.0645,0.0645,0.0,,,,,,,
credit-card-application-1-hinglish.m4a,hi-en,S3,personal,sarvam,full_transcript_llm,0.1818,0.2727,0.0909,0.0661,0.1322,0.0661,,,,,,,
indicvoices_hi_02.wav,hi,S1,indicvoices,sarvam,full_transcript_llm,0.1739,0.1739,0.0,0.0463,0.0463,0.0,,,,,,,
gpay-fraud-1-hinglish.m4a,hi-en,S3,personal,sarvam,full_transcript_llm,0.1667,0.1667,0.0,0.0177,0.0177,0.0,,,,,,,
indicvoices_hi_04.wav,hi,S1,indicvoices,sarvam,full_transcript_llm,0.15,0.15,0.0,0.0421,0.0421,0.0,,,,,,,
debit-card-verification-1-Kannada.m4a,kn-en,S4,personal,sarvam,full_transcript_llm,0.1429,0.1429,0.0,0.0204,0.0204,0.0,,,,,,,
indicvoices_hi_06.wav,hi,S1,indicvoices,sarvam,full_transcript_llm,0.0959,0.0959,0.0,0.0171,0.0171,0.0,,,,,,,
transaction-check-1-hinglish.m4a,hi-en,S3,personal,sarvam,full_transcript_llm,0.069,0.0345,-0.0345,0.0216,0.0144,-0.0072,,,,,,,
loan-enquiry-1-Kannada.m4a,kn-en,S4,personal,elevenlabs,full_transcript_fallback,1.15,0.65,-0.5,0.9837,0.4959,-0.4878,0.6833,-0.4667,-0.0333,0.3,20,-0.5,3
indicvoices_ka_05.wav,ka,S4,indicvoices,elevenlabs,full_transcript_fallback,0.9474,0.8948,-0.0526,0.3817,0.3867,0.005,0.8948,-0.0526,0.0,1.0,20,-0.5,3
indicvoices_ka_03.wav,ka,S4,indicvoices,elevenlabs,targeted_flagged,0.6842,0.7105,0.0263,0.471,0.5148,0.0438,0.693,0.0088,0.0175,2.3,55,-0.5,3
indicvoices_ka_04.wav,ka,S4,indicvoices,elevenlabs,full_transcript_fallback,0.5556,0.4444,-0.1112,0.0833,0.0778,-0.0055,0.5556,0.0,-0.1112,0.0,9,-0.5,3
indicvoices_ka_02.wav,ka,S4,indicvoices,elevenlabs,full_transcript_fallback,0.5161,0.4516,-0.0645,0.1316,0.1272,-0.0044,0.4516,-0.0645,0.0,0.0,35,-0.5,3
indicvoices_ka_07.wav,ka,S4,indicvoices,elevenlabs,full_transcript_fallback,0.3333,0.3333,0.0,0.026,0.0779,0.0519,0.3333,0.0,0.0,0.3,10,-0.5,3
indicvoices_ka_01.wav,ka,S4,indicvoices,elevenlabs,full_transcript_fallback,0.3125,0.3125,0.0,0.1327,0.1327,0.0,0.3125,0.0,0.0,0.0,14,-0.5,3
suspicious-transaction-1-Kannada.m4a,kn-en,S4,personal,elevenlabs,full_transcript_fallback,0.2973,0.2613,-0.036,0.166,0.1037,-0.0623,0.2703,-0.027,-0.009,0.0,39,-0.5,3
debit-card-verification-1-Kannada.m4a,kn-en,S4,personal,elevenlabs,full_transcript_fallback,0.2857,0.2381,-0.0476,0.0612,0.0544,-0.0068,0.2857,0.0,-0.0476,0.0,21,-0.5,3
credit-card-application-1-hinglish.m4a,hi-en,S3,personal,elevenlabs,full_transcript_fallback,0.2727,0.2576,-0.0151,0.0826,0.0799,-0.0027,0.2576,-0.0151,0.0,0.0,24,-0.5,3
indicvoices_ka_06.wav,ka,S4,indicvoices,elevenlabs,full_transcript_fallback,0.25,0.25,0.0,0.0448,0.0448,0.0,0.25,0.0,0.0,0.0,7,-0.5,3
indicvoices_hi_04.wav,hi,S1,indicvoices,elevenlabs,full_transcript_fallback,0.2,0.1333,-0.0667,0.092,0.0307,-0.0613,0.1333,-0.0667,0.0,0.0,58,-0.5,3
gpay-fraud-1-hinglish.m4a,hi-en,S3,personal,elevenlabs,full_transcript_fallback,0.1667,0.125,-0.0417,0.0442,0.0265,-0.0177,0.1667,0.0,-0.0417,1.0,25,-0.5,3
indicvoices_hi_06.wav,hi,S1,indicvoices,elevenlabs,full_transcript_fallback,0.1096,0.1142,0.0046,0.0486,0.0495,0.0009,0.1096,-0.0,0.0046,0.7,72,-0.5,3
transaction-check-1-hinglish.m4a,hi-en,S3,personal,elevenlabs,full_transcript_fallback,0.1034,0.069,-0.0344,0.0216,0.0144,-0.0072,0.1034,0.0,-0.0344,0.0,29,-0.5,3
indicvoices_hi_02.wav,hi,S1,indicvoices,elevenlabs,full_transcript_fallback,0.087,0.087,0.0,0.0278,0.0278,0.0,0.087,0.0,0.0,0.7,23,-0.5,3
indicvoices_hi_07.wav,hi,S1,indicvoices,elevenlabs,full_transcript_fallback,0.0714,0.1429,0.0715,0.0161,0.0323,0.0162,0.0714,0.0,0.0715,0.0,14,-0.5,3
suspicious-transaction-1-Kannada.m4a,kn-en,S4,personal,whisper,full_transcript_llm,1.0541,1.0541,0.0,0.8963,0.8963,0.0,,,,,,,
